tracking_number,service_type,service_description,carrier_code,package_weight,package_weight_units,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,delivery_location_type_x,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type_y,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count,unique_event_types_count
391018768927,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,28.0,KG,YOUR_PACKAGING,Bangalore,KA,,Lucknow,UP,,RESIDENCE,2020-03-11 16:39:00+05:30,2020-03-18 19:26:00+05:30,170.78333333333333,3,4,138.55,56.92777777777778,True,RESIDENCE,1,True,12,8
390901927330,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,RESIDENCE,2020-03-06 16:07:00+05:30,2020-03-12 13:49:00+05:30,141.7,3,6,120.20000000000002,47.23333333333333,True,RESIDENCE,2,False,17,8
390932009368,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,HYDERABAD,TS,,RECEPTIONIST_OR_FRONT_DESK,2020-03-07 16:27:00+05:30,2020-03-09 18:00:00+05:30,49.55,3,5,39.05,16.516666666666666,True,RECEPTIONIST_OR_FRONT_DESK,0,False,10,6
280902966660,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,2.5,KG,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,IN_BOND_OR_CAGE,2021-06-29 19:07:00+05:30,2021-07-02 19:59:00+05:30,72.86666666666666,3,5,62.266666666666666,24.288888888888888,True,IN_BOND_OR_CAGE,0,False,12,7
390871801797,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,RESIDENCE,2020-03-05 19:20:00+05:30,2020-03-06 10:40:00+05:30,15.333333333333334,3,2,8.75,5.111111111111112,True,RESIDENCE,1,True,8,7
390767885350,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,RECEPTIONIST_OR_FRONT_DESK,2020-03-02 16:23:00+05:30,2020-03-04 14:11:00+05:30,45.8,2,5,35.08333333333333,22.9,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10,6
390902302347,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,RECEPTIONIST_OR_FRONT_DESK,2020-03-06 16:07:00+05:30,2020-03-07 11:06:00+05:30,18.983333333333334,3,4,12.95,6.327777777777778,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10,7
391017630155,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,RESIDENCE,2020-03-11 16:39:00+05:30,2020-03-16 15:25:00+05:30,118.76666666666667,3,5,85.53333333333335,39.58888888888889,True,RESIDENCE,1,True,11,7
390839024061,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,RESIDENCE,2020-03-04 16:13:00+05:30,2020-03-09 14:45:00+05:30,118.53333333333333,3,6,85.8,39.51111111111111,True,RESIDENCE,1,True,13,7
391080744877,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,RECEPTIONIST_OR_FRONT_DESK,2020-03-13 17:14:00+05:30,2020-03-16 15:40:00+05:30,70.43333333333334,3,10,59.733333333333334,23.477777777777778,True,RECEPTIONIST_OR_FRONT_DESK,0,False,16,7
391195866906,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,New delhi,DL,,RESIDENCE,2020-03-18 17:08:00+05:30,2020-03-23 16:36:00+05:30,119.46666666666667,3,7,115.36666666666666,39.82222222222222,True,RESIDENCE,1,True,14,8
391049832078,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Kolkata,WB,,RESIDENCE,2020-03-12 16:17:00+05:30,2020-03-18 17:02:00+05:30,144.75,3,4,114.25,48.25,True,RESIDENCE,1,True,12,7
280853182067,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,5.0,KG,YOUR_PACKAGING,Bangalore,KA,,Chennai,TN,,RESIDENCE,2021-06-28 18:18:00+05:30,2021-07-02 19:19:00+05:30,97.01666666666667,3,4,70.56666666666666,32.33888888888889,True,RESIDENCE,2,False,14,8
390808808594,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,RESIDENCE,2020-03-03 16:19:00+05:30,2020-03-05 13:39:00+05:30,45.333333333333336,2,4,33.13333333333333,22.666666666666668,True,RESIDENCE,1,True,10,6
391018775697,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Nagpur,MH,,RECEPTIONIST_OR_FRONT_DESK,2020-03-11 16:39:00+05:30,2020-03-14 13:21:00+05:30,68.7,3,6,59.050000000000004,22.900000000000002,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12,7
390948863631,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,RECEPTIONIST_OR_FRONT_DESK,2020-03-09 15:12:00+05:30,2020-03-11 15:30:00+05:30,48.3,3,6,34.449999999999996,16.099999999999998,True,RECEPTIONIST_OR_FRONT_DESK,0,False,11,6
390767878200,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,RESIDENCE,2020-03-02 16:23:00+05:30,2020-03-03 17:36:00+05:30,25.216666666666665,2,3,7.133333333333334,12.608333333333333,True,RESIDENCE,1,True,8,6
390871721487,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,28.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mysuru,KA,,RECEPTIONIST_OR_FRONT_DESK,2020-03-05 19:20:00+05:30,2020-03-06 14:00:00+05:30,18.666666666666668,3,3,9.9,6.222222222222222,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9,7
390871798135,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,RESIDENCE,2020-03-05 19:20:00+05:30,2020-03-09 18:30:00+05:30,95.16666666666667,3,4,41.733333333333334,31.722222222222225,True,RESIDENCE,1,True,13,8
390769051308,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,SHIPPING_RECEIVING,2020-03-02 16:23:00+05:30,2020-03-06 18:19:00+05:30,97.93333333333334,2,5,67.5,48.96666666666667,True,SHIPPING_RECEIVING,3,False,14,6
390948867394,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Vadodara,GJ,,RECEPTIONIST_OR_FRONT_DESK,2020-03-09 15:12:00+05:30,2020-03-12 12:30:00+05:30,69.3,3,5,60.71666666666667,23.099999999999998,True,RECEPTIONIST_OR_FRONT_DESK,0,False,10,6
391080357350,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,RESIDENCE,2020-03-13 17:14:00+05:30,2020-03-16 16:40:00+05:30,71.43333333333334,3,7,56.483333333333334,23.811111111111114,True,RESIDENCE,1,True,13,7
390769041097,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Nagpur,MH,,RESIDENCE,2020-03-02 16:23:00+05:30,2020-03-05 16:20:00+05:30,71.95,2,7,57.93333333333333,35.975,True,RESIDENCE,1,True,12,6
390767756692,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,RECEPTIONIST_OR_FRONT_DESK,2020-03-02 16:23:00+05:30,2020-03-04 19:00:00+05:30,50.61666666666667,2,6,38.21666666666666,25.308333333333334,True,RECEPTIONIST_OR_FRONT_DESK,0,False,10,5
391128713604,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,RESIDENCE,2020-03-16 15:44:00+05:30,2020-03-21 10:50:00+05:30,115.1,3,5,100.48333333333333,38.36666666666667,True,RESIDENCE,2,False,14,8
390767773927,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,RESIDENCE,2020-03-02 16:23:00+05:30,2020-03-04 13:00:00+05:30,44.61666666666667,2,6,31.4,22.308333333333334,True,RESIDENCE,1,True,11,6
390987545399,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,RESIDENCE,2020-03-10 15:59:00+05:30,2020-03-12 14:55:00+05:30,46.93333333333333,3,6,40.35,15.644444444444444,True,RESIDENCE,1,True,12,7
390871765957,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,RECEPTIONIST_OR_FRONT_DESK,2020-03-05 19:20:00+05:30,2020-03-07 18:00:00+05:30,46.666666666666664,3,4,34.95,15.555555555555555,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10,7
391049864544,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Nagpur,MH,,RESIDENCE,2020-03-12 16:17:00+05:30,2020-03-17 18:07:00+05:30,121.83333333333333,3,7,91.4,40.61111111111111,True,RESIDENCE,2,False,16,8
390767863940,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,RECEPTIONIST_OR_FRONT_DESK,2020-03-02 16:23:00+05:30,2020-03-07 18:30:00+05:30,122.11666666666666,2,7,106.98333333333333,61.05833333333333,True,RECEPTIONIST_OR_FRONT_DESK,2,False,15,8
390948901463,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,RESIDENCE,2020-03-09 15:12:00+05:30,2020-03-10 18:48:00+05:30,27.6,3,3,10.799999999999999,9.200000000000001,True,RESIDENCE,1,True,9,7
390950797924,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,RECEPTIONIST_OR_FRONT_DESK,2020-03-09 15:12:00+05:30,2020-03-10 15:30:00+05:30,24.3,3,3,10.799999999999999,8.1,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9,7
390767768950,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Rajnandgaon,CT,,RECEPTIONIST_OR_FRONT_DESK,2020-03-02 16:23:00+05:30,2020-03-05 17:30:00+05:30,73.11666666666666,2,6,63.050000000000004,36.55833333333333,True,RECEPTIONIST_OR_FRONT_DESK,0,False,10,5
390839698450,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Kolkata,WB,,RESIDENCE,2020-03-05 19:20:00+05:30,2020-03-11 17:09:00+05:30,141.81666666666666,3,6,133.0,47.27222222222222,True,RESIDENCE,1,True,13,7
391080351396,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,RESIDENCE,2020-03-13 17:14:00+05:30,2020-03-17 13:21:00+05:30,92.11666666666666,3,4,80.31666666666665,30.705555555555552,True,RESIDENCE,1,True,10,7
390948893060,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,RECEPTIONIST_OR_FRONT_DESK,2020-03-09 15:12:00+05:30,2020-03-10 13:33:00+05:30,22.35,3,3,10.799999999999999,7.45,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9,7
390948915036,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Indore,MP,,RECEPTIONIST_OR_FRONT_DESK,2020-03-09 15:12:00+05:30,2020-03-12 11:51:00+05:30,68.65,3,6,60.18333333333334,22.883333333333336,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12,7
390901942719,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,RECEPTIONIST_OR_FRONT_DESK,2020-03-06 16:07:00+05:30,2020-03-11 18:00:00+05:30,121.88333333333334,3,8,110.31666666666666,40.62777777777778,True,RECEPTIONIST_OR_FRONT_DESK,0,False,17,7
391080316258,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,SHIPPING_RECEIVING,2020-03-13 17:14:00+05:30,2020-03-16 15:09:00+05:30,69.91666666666667,2,8,50.483333333333334,34.958333333333336,True,SHIPPING_RECEIVING,0,False,13,6
280902855329,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,2.0,KG,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,RESIDENCE,2021-06-29 19:07:00+05:30,2021-07-05 15:57:00+05:30,140.83333333333334,3,6,87.25,46.94444444444445,True,RESIDENCE,2,False,17,8
390932015238,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,RECEPTIONIST_OR_FRONT_DESK,2020-03-07 16:27:00+05:30,2020-03-10 18:00:00+05:30,73.55,3,4,47.78333333333333,24.516666666666666,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12,7
390808005402,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Hyderabad,TS,,IN_BOND_OR_CAGE,2020-03-03 16:19:00+05:30,2020-03-06 18:15:00+05:30,73.93333333333334,2,5,59.86666666666667,36.96666666666667,True,IN_BOND_OR_CAGE,0,False,10,5
390948897537,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,RECEPTIONIST_OR_FRONT_DESK,2020-03-09 15:12:00+05:30,2020-03-14 12:49:00+05:30,117.61666666666666,3,5,88.56666666666666,39.205555555555556,True,RECEPTIONIST_OR_FRONT_DESK,1,True,12,7
391049835905,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Ahmedabad,GJ,,RECEPTIONIST_OR_FRONT_DESK,2020-03-12 16:17:00+05:30,2020-03-17 13:00:00+05:30,116.71666666666667,3,10,108.93333333333332,38.90555555555556,True,RECEPTIONIST_OR_FRONT_DESK,1,True,19,9
390871789380,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,RESIDENCE,2020-03-05 19:20:00+05:30,2020-03-09 12:10:00+05:30,88.83333333333333,3,4,41.733333333333334,29.61111111111111,True,RESIDENCE,2,False,15,8
390931995152,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Udaipur,RJ,,RECEPTIONIST_OR_FRONT_DESK,2020-03-07 16:27:00+05:30,2020-03-13 13:54:00+05:30,141.45,3,11,132.7166666666667,47.15,True,RECEPTIONIST_OR_FRONT_DESK,1,True,18,8
391080697205,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Pune,MH,,RECEPTIONIST_OR_FRONT_DESK,2020-03-13 17:14:00+05:30,2020-03-16 16:25:00+05:30,71.18333333333334,3,10,59.733333333333334,23.727777777777778,True,RECEPTIONIST_OR_FRONT_DESK,0,False,16,7
391128770200,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,RESIDENCE,2020-03-16 15:44:00+05:30,2020-03-20 16:55:00+05:30,97.18333333333334,3,5,82.4,32.394444444444446,True,RESIDENCE,1,True,11,7
390950240108,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,28.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,,2020-03-09 15:12:00+05:30,2020-03-12 16:00:00+05:30,72.8,3,5,59.900000000000006,24.266666666666666,True,,0,False,13,7
390767808307,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Greater Noida,UP,,RESIDENCE,2020-03-02 16:23:00+05:30,2020-03-06 18:28:00+05:30,98.08333333333333,2,7,86.85,49.041666666666664,True,RESIDENCE,0,False,12,6
391128738630,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,RESIDENCE,2020-03-16 15:44:00+05:30,2020-03-18 14:08:00+05:30,46.4,3,4,33.833333333333336,15.466666666666667,True,RESIDENCE,1,True,10,7
390902329207,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,28.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bengaluru,KA,,RECEPTIONIST_OR_FRONT_DESK,2020-03-06 16:07:00+05:30,2020-03-07 11:06:00+05:30,18.983333333333334,3,4,12.950000000000001,6.327777777777778,True,RECEPTIONIST_OR_FRONT_DESK,1,True,10,7
391198356290,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Thanjavur,TN,,RESIDENCE,2020-03-18 17:08:00+05:30,2020-04-10 09:25:00+05:30,544.2833333333333,3,7,107.45,181.42777777777778,True,RESIDENCE,0,False,16,7
390931713959,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,RESIDENCE,2020-03-07 16:27:00+05:30,2020-03-11 15:19:00+05:30,94.86666666666666,3,5,80.95,31.62222222222222,True,RESIDENCE,1,True,11,7
391017620614,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,RESIDENCE,2020-03-11 16:39:00+05:30,2020-03-16 16:32:00+05:30,119.88333333333334,3,7,85.83333333333333,39.961111111111116,True,RESIDENCE,1,True,15,7
390932012191,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Kozhikode,KL,,RECEPTIONIST_OR_FRONT_DESK,2020-03-07 16:27:00+05:30,2020-03-10 16:00:00+05:30,71.55,3,3,59.68333333333334,23.849999999999998,True,RECEPTIONIST_OR_FRONT_DESK,0,False,8,6
390871747925,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,indore,MP,,RESIDENCE,2020-03-05 19:20:00+05:30,2020-03-09 15:49:00+05:30,92.48333333333333,3,9,83.36666666666666,30.82777777777778,True,RESIDENCE,1,True,16,8
391128574287,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Gurugram,HR,,RESIDENCE,2020-03-16 15:44:00+05:30,2020-03-20 12:59:00+05:30,93.25,3,5,80.1,31.083333333333332,True,RESIDENCE,1,True,11,7
391109027000,FEDEX_EXPRESS_SAVER,FedEx Economy,FDXE,14.0,KG,YOUR_PACKAGING,Bangalore,KA,,Bhilai,CT,,RESIDENCE,2020-03-14 16:35:00+05:30,2020-03-20 15:55:00+05:30,143.33333333333334,3,6,110.13333333333334,47.77777777777778,True,RESIDENCE,1,True,14,7
